iata,icao
MXN,LFRU
RNS,LFRN
SBK,LFRT
UIP,LFRQ
VNE,LFRV
BOU,LFLD
CHR,LFLX
ORE,LFOZ
TUF,LFOT
AJA,LFKJ
BIA,LFKB
CLY,LFKC
FSC,LFKF
PRP,LFKO
SOZ,LFKS
CMR,LFGA
ENC,LFSN
EPL,LFSG
ETZ,LFJL
MZM,LFSF
RHE,LFSR
SXB,LFST
VTL,LFSZ
XCZ,LFQV
BYF,LFAQ
CQF,LFAC
CSF,LFPC
HZB,LFQT
LIL,LFQQ
LTQ,LFAT
CDG,LFPG
ORY,LFPO
TNF,LFPN
CER,LFRC
CFR,LFRK
DOL,LFRG
DPE,LFAB
EVX,LFOE
GFR,LFRF
LEH,LFOH
URO,LFOP
AGF,LFBA
ANG,LFBU
BIQ,LFBZ
BOD,LFBD
BVE,LFSL
CNG,LFBG
EGC,LFBE
LIG,LFBL
LRH,LFBH
NIT,LFBN
PGX,LFBX
PIS,LFBI
PUF,LFBP
RCO,LFDN
RYN,LFCY
BZR,LFMU
CCF,LFMK
DCM,LFCK
FNI,LFTW
LBI,LFCI
LDE,LFBT
MEN,LFNB
MPL,LFMT
PGF,LFMP
RDZ,LFCR
TLS,LFBO
ZAO,LFCC
ANE,LFJR
CET,LFOU
EDM,LFRI
IDY,LFEY
LBY,LFRE
LME,LFRM
LSO,LFOO
LVA,LFOV
NTE,LFRS
SNR,LFRZ
AVN,LFMV
BAE,LFMR
CEQ,LFMD
CTT,LFMQ
GAT,LFNA
LTT,LFTZ
MRS,LFML
NCE,LFMN
QIE,LFMI
QXB,LFMA
SCP,LFNC
TLN,LFTH
LBV,FOOL
NKA,
OWE,
AKE,FOGA
LEO,
MFF,FOOD
MVB,FOON
OKN,FOGQ
GIM,
GKO,
KDJ,FOGJ
LBQ,FOGR
MVG,
FOU,FOGF
KDN,FOGE
MBC,FOGG
MGO,
MJL,FOGM
MGX,FOGI
MYB,FOOY
TCH,FOOT
BGB,FOGB
GAX,
MKB,FOOE
MKU,FOOK
WGY,
KOU,FOGK
LTL,FOOR
AWE,FOGW
BAW,
BGP,
IGE,FOOI
OMB,FOOH
OUU,
POG,FOOG
WNE,
BMM,FOOB
MDV,
MVX,FOGV
MZC,FOOM
OYE,FOGO
HYC,EGTB
PLH,EGHD
BBP,EGHJ
BBS,EGLK
BEQ,EGXH
BEX,EGUB
BHX,EGBB
BLK,EGNH
BOH,EGHH
BQH,EGKB
BRS,EGGD
BWF,EGNL
BZZ,EGVN
CAX,EGNC
CBG,EGSC
CVT,EGBE
DSA,EGCN
EMA,EGNX
EXT,EGTE
FAB,EGLF
FFD,EGVA
GBA,EGBP
GLO,EGBJ
HRT,EGXU
HUY,EGNJ
IOM,EGNS
ISC,EGHE
KNF,EGYM
KRH,EGKR
LBA,EGNM
LCY,EGLC
LEQ,EGHC
LGW,EGKK
LHB,EG74
LHR,EGLL
LKZ,EGUL
LPL,EGGP
LTN,EGGW
LYE,EGDL
LYX,EGMD
MAN,EGCC
MHZ,EGUN
MME,EGNV
NCL,EGNT
NHT,EGWU
NQT,EGBN
NQY,EGHQ
NWI,EGSH
ODH,EGVO
ORM,EGBK
OXF,EGTK
QCY,EGXC
QFO,EGSU
QLA,EGHL
QUG,EGHR
QUY,EGUY
RCS,EGTO
SEN,EGMC
SOU,EGHI
SQZ,EGXP
STN,EGSS
UPV,EGDJ
WTN,EGXW
YEO,EGDY
GCI,EGJB
ACI,EGJA
MSE,EGMH
WRT,EGNO
BFS,EGAA
BHD,EGAC
BOL,EGQB
ENK,EGAB
LDY,EGAE
OKH,EGXJ
ABZ,EGPD
ADX,EGQL
BEB,EGPL
BRR,EGPR
CAL,EGEC
COL,
CSA,
DND,EGPN
DOC,
EDI,EGPH
EOI,EGED
FIE,EGEF
FOA,
FSS,EGQK
GLA,EGPF
ILY,EGPI
INV,EGPE
KOI,EGPA
LMO,EGQS
LSI,EGPB
LWK,EGET
NDY,EGES
NRL,EGEN
OBN,EGEO
OUK,
PIK,EGPK
PPW,EGEP
PSL,EGPT
PSV,
SKL,EGEI
SOY,EGER
SYY,EGPO
TRE,EGPU
UNT,EGPW
WHS,EGEH
WIC,EGPC
WRY,EGEW
FZO,EGTG
CEG,EGNR
CWL,EGFF
HAW,EGFE
SWS,EGFH
VLY,EGOV
ESH,EGKA
GND,TGPY
CRU,
SUI,UGSS
BUS,UGSB
KUT,UGKO
TBS,UGTB
CAY,SOCA
GSI,SOGS
LDX,SOOM
MPY,SOOA
OYP,SOOG
REI,SOOR
XAU,SOOS
KMS,DGSI
NYI,DGSN
ACC,DGAA
TML,DGLE
TKD,DGTK
GIB,LXGB
JAV,BGJN
JQA,BGUQ
JUV,BGUK
NAQ,BGQQ
THU,BGTL
UMD,BGUM
UAK,BGBW
JCH,BGCH
JEG,BGAA
CNP,BGCO
GOH,BGGH
JFR,BGPT
KUS,BGKK
JHS,BGSS
JSU,BGMQ
SFJ,BGSF
BJL,GBYD
BKJ,GUOK
SBI,GUSB
CKY,GUCY
FAA,GUFH
FIG,GUFA
GII,GUSI
KNN,GUXN
KSI,GUKU
LEK,GULB
MCA,GUMA
NZE,GUNZ
BBR,TFFB
DSD,TFFA
GBJ,TFFM
LSS,TFFS
PTP,TFFR
SFC,TFFC
NBN,FGAB
SSG,FGSL
BSG,FGBT
OCS,
GEM,FGMY
AXD,LGAL
KVA,LGKV
ATH,LGAV
KIT,LGKC
AGQ,LGAG
GPA,LGRX
PYR,LGAD
KSO,LGKA
KZI,LGKZ
CFU,LGKR
EFL,LGKF
PVK,LGPZ
ZTH,LGZA
IOA,LGIO
SKG,LGTS
CHQ,LGSA
HER,LGIR
JSH,LGST
AOK,LGKP
JKL,LGKY
JMK,LGMK
JNX,LGNX
JSY,LGSO
JTR,LGSR
JTY,LGPL
KGS,LGKO
KSJ,LGKS
KZS,LGKJ
LRS,LGLE
MLO,LGML
PAS,LGPA
RHO,LGRP
PKH,LGHL
KLX,LGKL
SPJ,LGSP
SKU,LGSY
JSI,LGSK
LRA,LGLR
VOL,LGBL
JIK,LGIK
JKH,LGHI
LXS,LGLM
MJT,LGMT
SMI,LGSM
CBV,MGCB
RUV,MGRB
CIQ,
ENJ,
GSJ,MGSJ
GUA,MGGT
HUG,MGHT
LCF,MGRD
PBR,MGPB
CMM,MGCR
DON,
FRS,MGTK
PON,MGPP
UAX,
AAZ,MGQZ
CTF,MGCT
AQB,MGQC
PKJ,MGPG
RER,MGRT
LOX,
GUM,PGUM
UAM,PGUA
OXB,GGOV
BQE,GGBU
BCG,
BMJ,SYBR
MWJ,SYMR
PKM,
USI,SYMB
GFO,SYBT
IMB,SYIB
KAR,SYKM
KPG,
PRR,SYPR
GEO,SYCJ
OGL,SYGO
SKM,
EKE,
KKG,SYKZ
PIQ,
SDC,SYSC
VEG,SYMK
KAI,SYKA
KTO,SYKT
MHA,SYMD
MYM,SYMM
ORJ,SYOR
PMT,
AHL,SYAH
KRG,SYKS
KRM,SYKR
LTM,SYLT
LUB,SYLP
NAI,SYAN
HKG,VHHH
LCE,MHLC
TEA,MHTE
IRN,MHIR
LMH,
TCF,
TJI,MHTJ
XPL,MHSC
RUY,MHRU
SDH,MHSR
LLH,
SAP,MHLM
TGU,MHTG
AHS,MHAH
BHG,
CDD,
PCH,MHPC
PEU,MHPL
LEZ,MHLE
GJA,MHNJ
RTB,MHRO
UII,MHUT
MRJ,MHMA
EDQ,
GAC,MHGS
CAA,MHGE
JUT,MHJU
LUI,
CYL,MHCS
OAN,MHEA
ORO,MHYR
SCD,MHUL
DBV,LDDU
ZAG,LDZA
PUY,LDPL
OSI,LDOS
LSZ,LDLO
RJK,LDRI
BWK,LDSB
SPU,LDSP
ZAD,LDZD
JEE,MTJE
CAP,MTCH
PAX,MTPX
PAP,MTPP
CYA,MTCA
JAK,MTJA
PEV,LHPP
BUD,LHBP
MCQ,LHMC
DEB,LHDC
SOB,LHSM
BTJ,WITT
KJX,
LSW,WITM
LSX,WITL
MEQ,WITC
SBG,WITN
DPS,WADD
CGK,WIII
PCB,WIHP
PPJ,WIIG
BKS,WIPL
BUU,WIPI
RGT,WIBJ
BXW,WARW
GTO,WAMG
OJU,
UOL,WAMY
DJB,WIPA
KRC,WIPH
MPC,WIPU
TJB,WIBT
BDO,WICC
CBN,WICD
CJN,WICN
KJT,WICA
TSY,WICM
CPF,WARC
CXP,WAHL
KWB,
PWL,WAHP
SOC,WARQ
SRG,WARS
YIA,WAHI
BWX,WADY
JBB,WARE
MLG,WARA
MSI,
SUB,WARR
SUP,WART
KTG,WIOK
PNK,WIOO
PSU,WIOP
SQG,WIOS
BDJ,WAOO
BTW,WAOC
KBU,WRBK
TJG,WAON
NPO,WIOG
PKN,WAOI
PKY,WAGG
SMQ,WAOS
TBM,WAOW
AAP,WALS
BEJ,WALK
BPN,WALL
BXT,WRLC
DTD,WALJ
KOD,
SGQ,WRLA
TNB,WRLH
TSX,WALT
BYQ,WALV
LBW,WRLB
LPU,WRLP
NAF,
NNX,WRLF
TJS,WAGD
TPK,WITA
TRK,WALR
MWK,WIOM
PGK,WIPK
TJQ,WIKD
BTH,WIDD
NTX,WION
TNJ,WIDN
AKQ,WIAG
TKG,WILL
GLX,WAMA
LAH,WAPH
MAL,WAPE
OTI,WAMR
SQN,WAPN
TAX,WAPT
TTE,WAEE
AHI,WAPA
AMQ,WAPP
BJK,WAPK
DOB,WAPD
GEB,WAMJ
KAZ,WAMK
LUV,WAPF
NAM,WAPR
NDA,WAPC
NRE,WAPG
SXK,WAPI
WBA,WAPV
BMU,WADB
LOP,WADL
LYK,WADU
SWQ,WADS
ABU,WATA
ARD,WATM
BJW,WRKB
ENE,WATE
KOE,WATT
LBJ,WATO
LKA,WATL
LWE,WATW
MOF,WATC
RTG,WATG
RTI,WATR
SAU,WATS
TMC,WADT
WGP,WADW
AGD,WASG
BXB,WASO
FKQ,WASF
GAV,
INX,WASI
KBX,WASU
KEQ,WASE
KNG,WASK
MKW,WASR
NTI,WASB
RDE,WASM
RJM,WASN
RSK,WASC
SOQ,WASS
TXM,WAST
AAS,
ARJ,WAJA
BIK,WABB
BUI,WAJB
BXD,WAKE
BXM,WAJG
DEX,
DJJ,WAJJ
DRH,WAJC
ELR,WAJN
EWE,
EWI,WABT
FOO,
ILA,WABL
IUL,WABE
KBF,WABK
KCD,WAKM
KEI,WAKP
KMM,
KOX,WABN
LHI,WAJL
LII,WAJM
LLN,
MDP,WAKD
MKQ,WAKK
MUF,
NBX,WABI
NKD,
OBD,WABR
OKL,WAJO
OKQ,WAKO
ONI,WABD
RUF,WAJE
SEH,WAJS
TIM,WABP
TMH,WAKT
TMY,
UBR,WAJU
UGU,WABV
WAR,WAJR
WET,WABG
WMX,WAVV
WSR,WASW
ZEG,WAKQ
ZRI,WABO
ZRM,WAJI
DUM,WIBD
PKU,WIBB
SEQ,WIBS
SIQ,WIDS
LLJ,WIPB
MJU,WAFJ
TTR,WAWT
LLO,
MOH,
MXB,WAWM
SQR,WAWS
UPG,WAAA
LUW,WAMW
PLW,WAFF
PSJ,WAMP
TLI,WAMI
BUW,WAWB
KDI,WAWW
PUM,WAWP
RAQ,WAWR
TQQ,WA44
AEG,WIME
BJG,
DTB,WIMN
FLZ,WIMS
GNS,WIMB
KNO,WIMM
MDC,WAMM
MES,WIMK
MNA,WAMN
NAH,WAMH
SIW,WIMP
PDG,WIPT
PPR,WIDE
RKI,WIBR
KLQ,WIPV
PDO,WIPQ
PLM,WIPP
AMI,WADA
AYW,WASA
JOG,WIIJ
SNN,EINN
BYT,EIBN
ORK,EICK
CFN,EIDL
LTR,EILT
DUB,EIDW
GWY,EICM
IIA,EIMN
INQ,EIIR
IOR,EIIM
NNR,EICA
KIR,EIKY
KKY,EIKK
BLY,EIBT
NOC,EIKN
SXL,EISG
WAT,EIWF
BEV,LLBS
EIY,LLEY
ETH,LLET
ETM,LLER
MIP,LLMR
MTZ,LLMZ
VDA,LLOV
VTM,LLNV
YOT,LLYT
KSW,LLKS
RPN,LLIB
HFA,LLHA
SDV,LLSD
TLV,LLBG
JRS,OJJR
CBD,VOCX
IXZ,VOPB
BEK,VIBY
CDP,VOCP
PUT,VOPN
RJA,VORY
TIR,VOTP
VGA,VOBZ
VTZ,VEVZ
IXT,VEPG
IXV,VEAN
TEI,VETJ
ZER,VEZO
DEP,VEDZ
DIB,VEMN
GAU,VEGT
IXI,VELR
IXN,VEKW
IXQ,VEKM
IXS,VEKU
JRH,VEJT
RUP,VERU
TEZ,VETZ
DBR,VEDH
GAY,VEGY
MZU,VEMZ
PAT,VEPT
IXC,VICG
JGB,
PAB,VEBU
RPR,VARP
DIU,
NMB,VADN
DEL,VIDP
GOI,VOGO
AMD,VAAH
BDQ,VABO
BHJ,VABJ
BHU,VABV
IXK,VAKS
IXY,VAKE
JGA,VAJM
PBD,VAPR
RAJ,VARK
STV,VASU
HSS,VIHR
DHM,VIGG
KUU,VIBR
SLV,VISM
IXJ,VIJU
IXL,VILH
RJI,
SXR,VISR
DBD,VEDB
IXR,VERC
IXW,VEJS
BEP,VOBI
BLR,VOBL
HBX,VAHB
IXE,VOML
IXG,VABM
MYQ,VOMY
VDY,VOJV
CCJ,VOCL
CNN,VOKN
COK,VOCI
TRV,VOTV
AGX,VOAT
BHO,VABP
GUX,VAGN
GWL,VIGR
HJR,VAKJ
IDR,VAID
JLR,VAJB
REW,
TNI,VIST
AKD,VAAK
BOM,VABB
ISK,VAOZ
IXU,VAAU
JLG,VAJL
KLH,VAKP
LTU,VALT
NAG,VANP
NDC,VAND
PNQ,VAPO
RTC,VARG
SAG,
SSE,VASL
IMF,VEIM
SHL,VEBI
AJL,VELP
DMU,VEMR
BBI,VEBS
JSA,VIJR
PYB,VEJP
RRK,VERK
PNY,VOPC
AIP,VIAX
ATQ,VIAR
BUP,VIBT
IXP,VIPK
LUH,VILD
BKB,VIBK
JAI,VIJP
JDH,VIJO
KQH,VIKG
KTU,VIKO
UDR,VAUD
CJB,VOCB
IXM,VOMD
MAA,VOMM
NVY,VONV
SXV,VOSM
TCR,VOTK
TJV,VOTJ
TRZ,VOTR
BPM,VOHY
HYD,VOHS
RMD,VORG
WGC,VOWA
IXA,VEAT
IXH,VEKR
AGR,VIAG
GOP,VEGK
IXD,VIAL
KNU,VIKA
LKO,VILK
VNS,VEBN
DED,VIDN
PGH,VIPT
CCU,VECC
COH,VECO
IXB,VEBD
LDA,VEMH
RDP,VEDG
RGH,VEBG
IQA,ORAA
TQD,ORAT
BSR,ORMM
NJF,ORNI
EBL,ORER
ISU,ORSU
BGW,ORBI
BMN,ORBB
KIK,ORKK
OSM,ORBM
RQW,
PYK,OIIP
ADU,OITL
PFQ,OITP
HGE,SVHG
IMQ,OITU
KHY,OITK
OMH,OITR
TIA,LATI
ACP,OITM
TBZ,OITT
BUZ,OIBB
IAQ,OIBH
KHA,OITH
KHK,OIBQ
KNR,OIBJ
PGU,OIBP
CQD,OIFS
IFH,OIFE
IFN,OIFM
FAZ,OISF
JAR,OISJ
LFM,OISR
LRR,OISL
SYZ,OISS
RAS,OIGG
GBT,OING
KLM,OINE
HDM,OIHH
NUJ,OIHS
AEU,OIBA
BDH,OIBL
BND,OIKB
GSM,OIKQ
HDR,OIKP
KIH,OIBK
LVP,OIBV
SXI,OIBS
IIL,OICI
BXR,OIKM
JYR,OIKJ
KER,OIKK
RJN,OIKR
SYJ,OIKY
KSH,OICC
TCX,OIMT
XBJ,OIMB
AFZ,OIMS
CKT,OIMC
MHD,OIMM
BJB,OIMN
ABD,OIAA
AKW,OIAG
AWZ,OIAW
DEF,OIAD
MRX,OIAM
OMI,OIAJ
GCH,OIAH
YES,OISY
SDG,OICS
KHD,OICK
AJK,OIHR
BSM,OINJ
NSH,OINN
RZR,OINR
SRY,OINZ
GZW,OIIK
RUD,OIMJ
SNX,OIIS
ACZ,OIZB
AMB,FMNE
ANM,FMNH
DIE,FMNA
DOA,
IHR,OIZI
IVA,FMNJ
NOS,FMNN
SVB,FMNS
VOH,FMNV
ZAH,OIZH
ZBR,OIZC
ZWA,FMND
IKA,OIIE
KKS,OIFK
THR,OIII
AZD,OIYY
JWN,OITZ
BGJ,BIBF
DJU,BIDV
HFN,BIHN
RKV,BIRK
AEY,BIAR
BJD,BIBK
BXV,BIBV
EGS,BIEG
FAS,BIFF
GRY,BIGR
HZK,BIHU
MVA,BIRL
NOR,BINF
OFJ,BIOF
OPA,BIKP
RFN,BIRG
SIJ,BISI
THO,BITN
VPN,BIVO
BIU,BIBD
BLO,BIBL
OLI,BIRF
PFJ,BIPA
SAK,BIKR
FAG,BIFM
VEY,BIVM
KEF,BIKF
FLI,
GJR,BIGJ
HVK,BIHK
IFJ,BIIS
RHA,BIRE
TEY,BITE
GUU,BIGF
SYK,BIST
PSR,LIBP
QAQ,LIAP
CRV,LIBC
REG,LICR
SUF,LICA
NAP,LIRN
QSR,LIRI
BLQ,LIPE
FRL,LIPK
RAN,LIDR
RMI,LIPR
AVB,LIPA
TRS,LIPQ
UDN,LIPD
FCO,LIRF
ALL,LIMG
GOA,LIMJ
LIN,LIML
MXP,LIMC
VBS,LIPO
AOI,LIPY
CUF,LIMZ
TRN,LIMF
BDS,LIBR
BRI,LIBD
FOG,LIBF
LCC,LIBN
TAR,LIBG
AHO,LIEA
CAG,LIEE
DCI,LIED
FNU,LIER
OLB,LIEO
TTB,LIET
CIY,LICB
CTA,LICC
LMP,LICD
NSY,LICZ
PMO,LICJ
PNL,LICG
TPS,LICT
EBA,LIRJ
FLR,LIRQ
GRS,LIRS
LCV,LIQL
PSA,LIRP
SAY,LIQS
BZO,LIPB
PEG,LIRZ
AOT,LIMW
BLX,LIDB
TSF,LIPH
VCE,LIPZ
VIC,LIPT
VRN,LIPX
JER,EGJJ
KTP,MKTP
POT,MKKJ
KIN,MKJP
MBJ,MKJS
OCJ,MKBS
NEG,MKNG
AQJ,OJAQ
ADJ,OJAM
OMF,OJMF
MPQ,OJMN
AMM,OJAI
NGO,RJGG
NKM,RJNA
AXT,RJSK
ONJ,RJSR
AOJ,RJSA
HHE,RJSH
MSJ,RJSM
MYJ,RJOM
FKJ,RJNF
FUK,RJFF
KKJ,RJFR
FKS,RJSF
HIJ,RJOA
HIW,RJBH
AKJ,RJEC
HKD,RJCH
KUH,RJCK
MBE,RJEB
MMB,RJCM
OBO,RJCB
OIR,RJEO
RBJ,RJCR
RIS,RJER
SHB,RJCN
WKJ,RJCW
TJH,RJBT
IBR,RJAH
KMQ,RJNK
NTQ,RJNW
HNA,RJSI
TAK,RJOT
ASJ,RJKA
KKX,RJKI
KOJ,RJFK
KUM,RJFC
OKE,RJKB
RNJ,RORY
TKN,RJKN
TNE,RJFG
NJA,RJTA
KCZ,RJOK
AXJ,RJDA
KMJ,RJFT
SDJ,RJSS
KMI,RJFM
MMJ,RJAF
FUJ,RJFE
IKI,RJDB
NGS,RJFU
OMJ,RJDU
TSJ,RJDT
KIJ,RJSN
SDS,RJSD
OIT,RJFO
OKJ,RJOB
AGJ,RORA
DNA,RODN
HTR,RORH
IEJ,RORE
ISG,ROIG
KJP,ROKR
KTD,RORK
MMD,ROMD
MMY,ROMY
OGN,ROYN
OKA,ROAH
SHI,RORS
TRA,RORT
UEO,ROKJ
KIX,RJBB
HSG,RJFS
IWJ,RJOW
IZO,RJOC
FSZ,RJNS
TKS,RJOS
HAC,RJTH
HND,RJTT
IWO,RJAW
MUS,RJAM
MYE,RJTQ
NRT,RJAA
OIM,RJTO
OKI,RJNO
TTJ,RJOR
YGJ,RJOH
TOY,RJNT
SHM,RJBD
GAJ,RJSC
SYO,RJSY
IWK,RJOI
UBJ,RJDC
LBN,
KRV,
NBO,HKJK
GAS,HKGA
LBK,
ASV,HKAM
GGM,HKKG
KEY,HKKR
MYD,HKML
VPG,
KIS,HKKI
UKA,HKUK
NYK,HKNY
KIU,
KWY,
LAU,HKLU
NDE,HKMA
OYL,HKMY
RBT,HKMB
JJM,HKMK
BMQ,
MBA,HKMO
WIL,HKNW
NUU,HKNK
KEU,HKKE
MRE,
ANA,
KTJ,
OLX,
NYE,HKNI
UAS,HKSB
ILU,HKKL
HOA,HKHO
EYS,HKES
KLK,HKFG
LKG,HKLK
LKU,
LOK,HKLO
LOY,HKLY
EDL,HKEL
KTL,HKKT
WJR,HKWJ
FRU,UAFM
OSS,UAFO
BBM,VDBG
KZC,VDKH
KMT,
KKZ,VDKK
KTI,VDKT
KOS,VDSV
MWV,VDMK
PNH,VDPP
TNX,VDST
KZD,
OMY,
RBE,VDRK
REP,VDSR
AAK,NGUK
ABF,NGAB
AEA,NGTB
AIS,NGTR
BBG,NGTU
BEZ,NGBR
KUC,NGKT
MNK,NGMA
MTK,NGMN
MZK,NGMK
NIG,NGNU
NON,NGTO
OOT,NGON
TBF,NGTE
TMN,NGTM
TRW,NGTA
TSU,NGTS
CIS,PCIS
CXI,PLCH
TNQ,
TNV,
AJN,FMCV
HAH,FMCH
YVA,FMCN
NWA,FMCI
SKB,TKPK
NEV,TKPN
RGO,ZKHM
DSO,ZKSD
WOS,ZKWS
UJU,ZKUJ
FNJ,ZKPY
YJS,ZKSE
PUS,RKPK
CJJ,RKTU
JWO,RKTI
HMY,RKTP
KAG,RKNN
WJU,RKNW
YNY,RKNY
CHN,RKJU
KUV,RKJK
KWJ,RKJJ
MWX,RKJB
RSU,RKJY
ICN,RKSI
OSN,RKSO
SWU,RKSW
CHF,RKPE
HIN,RKPS
KPO,RKTH
TAE,RKTN
UJN,RKTL
USN,RKPU
YEC,RKTY
CJU,RKPC
JDG,RKPD
XIJ,OKAJ
KWI,OKBK
CYB,MWCB
GCM,MWCR
LYB,MWCL
USJ,UAAL
ALA,UAAA
BXJ,UAAR
TDK,
ATX,
HRC,
KOV,UACK
AKX,UATT
NQZ,UACC
GUW,UATG
URA,UARR
BXY,UAOL
SCO,UATE
CIT,UAII
EKB,UASB
PWQ,UASP
BXH,UAAH
DZN,UAKD
KGF,UAKK
AYK,UAUR
KSN,UAUU
KZO,UAOO
PLX,UASS
SZI,
UKK,UASK
UZR,
PPK,UACP
DMB,UADD
AOU,VLAP
HOE,VLHS
KOG,VLKG
PKZ,VLPS
NEU,VLSN
THK,VLTK
LXG,VLLN
LPQ,VLLB
ODY,VLOS
PCQ,
VNA,VLSV
ZVK,VLSK
VTE,VLVT
ZBY,VLSB
XKH,VLXK
BEY,OLBA
KYE,OLKA
SFG,TFFG
SLU,TLPC
UVF,TLPL
ADP,VCCG
AYY,
BTC,VCCB
DBU,
GIU,VCCS
KDW,
KDZ,
NUA,
NUF,
PQD,
THW,
TRR,VCCT
AFK,
ACJ,VCCA
HIM,VCCH
DBK,
IRU,
JAF,VCCJ
BJT,
DIW,
HBT,
HRI,VCRI
KCT,VCCK
TTW,
WRZ,VCCW
BYV,
CMB,VCBI
DGM,
DWO,
KEZ,
KTY,VCCN
RML,VCCC
UCN,GLBU
THC,GLTN
GRC,
SAZ,GLST
FOY,
VOI,GLVA
ROB,GLRB
CPA,GLCP
BYL,
MLW,GLMR
RVC,
NIA,GLNA
TPT,
SNI,GLGE
LRB,FXLR
PEL,FXPG
SHZ,FXSS
MFC,FXMF
MSU,FXMM
SOK,FXSM
NKU,FXNK
MKH,FXMK
TKO,FXTK
LEF,FXLK
SKQ,FXSK
UNE,FXQN
UTG,FXQG
LES,FXLS
MSG,FXMA
SHK,FXSH
THB,FXTA
VNO,EYVI
KUN,EYKA
PLQ,EYPA
PNV,EYPP
SQQ,EYSA
LUX,ELLX
DGP,EVDA
RIX,EVRA
LPX,EVLA
VNT,EVVA
TOB,HLGN
LAQ,HLLQ
ZIS,HLZN
HUQ,HLON
AKF,HLKF
LMQ,HLMB
NFR,HLNR
BEN,HLLB
DNF,
GHT,HLGT
MRA,HLMS
LTD,HLTD
BCQ,
SEB,HLLS
SRX,HLGD
MJI,HLLM
TIP,HLLT
WAX,HLZW
QUB,HLUB
BEM,GMMD
CAS,GMMC
CMN,GMMN
GMD,GMMB
ERH,GMFK
OZG,GMAZ
OZZ,GMMZ
FEZ,GMFF
MEK,GMFM
GLN,
SII,GMMF
TTA,GMAT
NDR,GMMW
OUD,GMFO
UAR,GMFB
EUN,GMML
SMW,GMMA
VIL,GMMH
RAK,GMMX
SFI,GMMS
NNA,GMMY
RBA,GMME
AGA,GMAD
ESU,GMMI
AHU,GMTA
TNG,GMTT
TTU,
BZY,LUBL
RMO,LUKK
IVG,LYBR
ZBK,
TGD,LYPG
TIV,LYTV
AHY,
ATJ,FMME
OHB,FMFE
TNR,FMMI
VND,FMSU
WAD,
WTS,FMMX
WOR,
IHO,FMSI
MNJ,FMSM
RVA,FMSG
WFI,FMSF
WVK,FMSK
AMY,
BPY,FMNQ
BSV,
BZM,
DWB,FMNO
HVA,FMNL
MJN,FMNM
MXT,FMMO
TTS,FMNT
TVA,FMMR
TZO,
WAI,FMNW
WAQ,FMMG
WBD,FMNF
WBE,
WMA,FMNX
WMP,FMNP
WMV,
WPB,FMNG
WTA,FMMU
ILK,FMMQ
SMS,FMMS
TMM,FMMT
VAT,FMMY
VVB,FMMH
WAM,FMMZ
WMN,FMNR
WMR,FMNC
